Name,Other Names,Owner,Operator,Vessel Categor,Vessel Description,Vessel Classification,Maximum Endurance,Heli Deck,Maximum Working Depth,Flag,Construction Country,Construction Location,Year Built,Year Last Converted,Date of Delivery,Main Characteristics,Breadth,Minimum Draft,Maximum Draft,Passengers
REM Etive,,Fugro Subsea Services Limited,Fugro GeoServices Inc,Cable Installation,Multi purpose,DNV GL ✠ 1A1| Ice C| SF| COMF-V(3)| HELDECK - S| E0| Dynpos AUTR| CLEAN| DK (+)| HL (2.5) HI (2.5),,Yes,,The Bahamas,NO,Kleven Verft,2007,,23-May-2007,92.95 m,19.7 m,,6.3 m,,
Rollingstone,,Deme NV,Deme NV,Cable Installation,Stone dumping,ABS ✠ A1 (E) - AMS - ACCU - DPS-2 (Class II) Special Service Stone Dumping Vessel IMO / ISM-Code,,No,1000 m,Netherlands,JP,Oshima Shipbuilding Co Ltd,1979,,Jun-1979,139 m,32 m,6 m,6.2 m,,
S/B Victor,,JD-Contractor AS,JD-Contractor AS,Cable Installation,Cable lay barge,BV I ✠ Restricted to coastal areas in European waters.,,No,,Denmark,SE,Boele's Scheepswerven,1981,,1981,43 m,10 m,0.9 m,1.18 m,10 persons,
Siem Aimery,,Siem Offshore Contractors GmbH,Siem Offshore Contractors GmbH,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 Cable laying vessel SPS BIS Clean(Design) COMF(C-3| V-3) DYNPOS(AUTR) E0 NAUT(AW),,No,,Norway,NO,Ulstein,2016,,26-Apr-2016,95.3 m,21.48 m,,7.2 m,,
Siem Garnet,,Siem Offshore Contractors GmbH,Siem Offshore Contractors GmbH,Cable Installation,Multi purpose,DNV GL ✠ 100 A1 Offshore Supply Ship| DP(CM) ✠ LMC| UMS,,No,,Norway,NO,Kleven Verft| Norway,2010,,Nov-2010,91 m,22 m,7.95 m,7.95 m,,
Siem Ruby,,Siem Offshore Contractors GmbH,Siem Offshore Contractors GmbH,Cable Installation,Support vessel,DNV GL ✠ 1A1 Fire fighter(I+) Supply vessel Tug BIS Clean(Design) COMF(V-3) DK(+) DYNPOS(AUTR) E0 HL(2|8) Ice(C) NAUT(OSV(A)) OILREC SF TMON,,No,,Norway,NO,Kleven Verft,2010,,16-Jul-2010,91 m,22 m,,8 m,,
Skandi Acergy,,DOF Subsea ASA,Subsea 7,Cable Installation,Cable laying vessel,DNV GL ✠  1A1 Clean(Design) COMF(C-3| V-3) Crane DK(+) DYNPOS(AUTRO) E0 HELDK(S| H) Ice(C) NAUT(AW) SF TMON,,Yes,,United Kingdom,NO,Vard,2008,,07-Jul-2008,156.9 m,27 m,6.5 m,7 m,,
Stemat 77,,Stemat Marine Services BV,Stemat Marine Services BV,Cable Installation,Cable lay barge,BV I ✠ Hull Unrestricted navigation,,No,,Netherlands,,,,,,60 m,16.5 m,0.54 m,2.71 m,,
Stemat 82,,Stemat Marine Services BV,VBMS BV,Cable Installation,Cable lay barge,BV I ✠ Hull ✠ Mach| pontoon| unrestricted navigation,,No,,Netherlands,CN,Yizheng Chanrun Shipyard,2007,,25-Feb-2007,80 m,28 m,0.85 m,4.46 m,,
Stemat Oslo,,Stemat Marine Services BV,Stemat Marine Services BV,Cable Installation,Cable lay barge,BV I ✠ Hull,,No,,Netherlands,DE,Howaldtswerke Deutsche Werft AG,1977,,1977,76 m,24 m,0.86 m,3.48 m,,
Teliri,,Elettra TLC SpA,Elettra TLC SpA,Cable Installation,Cable laying vessel,Registro Italiano Navale,,No,,Italy,IT,Fincantieri Cantieri Navali Italiani SPA,1996,,1996,111.5 m,19 m,,7 m,,
Topaz Installer,Team Oman; Sea Spider,Topaz Energy and Marine,nkt cables Group A/S,Cable Installation,Cable storage barge,DNV GL ✠ 1A1 Cable lay vessel DYNPOS AUTR,,No,,Marshall Is.,NL,De Hoop,1999,2012,Mar-1999,88.2 m,24 m,,4.5 m,,
Ulisse,CC Pacifique;Winbuild,Prysmian PowerLink Services Ltd,Prysmian PowerLink Services Ltd,Cable Installation,Cable lay barge,ABS ✠ A1| Barge| Circle M| Unrestricted service,,No,,Malta,CN,Jingjiang Nanyang Shipbuilding Co Ltd,2011,2016,15-Aug-2011,120.106 m,33.5 m,,7.6 m,,
Ulstein Connector,Ulstein Cable Vessel,Ulstein Group,Ulstein Group,Cable Installation,Cable laying vessel,,,Yes,,,,,,,,,,,,,
Vetag 8,,VETAG GmbH - Germany,VETAG GmbH - Germany,Cable Installation,Cable lay barge,DNV GL ✠ 100 A5| RSA (50)| A-MC | “Pontoon” Equipped for Cable Lay,,No,,Germany,PH,HANJIN HHIC Shipyard| Subic Bay,2013,01/04/2014,2013,65 m,30 m,0.4 m,1.4 m,18 persons,
Willem de Vlamingh,,Jan de Nul Group,Jan de Nul Group,Cable Installation,Cable laying vessel,BV I ✠ Hull Mach| Special service Multipurpose Support Vessel| ✠ AUT-UMS (SS) ✠ DYNAPOS -AM/AT -R,,No,,Luxembourg,KR,STX Offshore & Shipbuilding Company,2011,2013,2011,115 m,23 m,,5.35 m,,
Woen Jinn No 5,,Woen Jinn Harbor Engineering Co.| Ltd. ( 穩晉港灣工程股份有限公司 ),Woen Jinn Harbor Engineering Co.| Ltd. ( 穩晉港灣工程股份有限公司 ),Cable Installation,Cable lay barge,,,No,,Taiwan,,,,,,,,,,,
